threshold,accuracy,precision,malignant_recall,f1_score,benign_recall,balanced_accuracy,tn,fp,fn,tp
0.5899999999999997,0.673,0.8884615384615384,0.6320109439124487,0.7386091127098321,0.7843866171003717,0.7081987805064103,211,58,269,462
0.5999999999999998,0.67,0.8939096267190569,0.6224350205198358,0.7338709677419355,0.7992565055762082,0.710845763048022,215,54,276,455
0.6099999999999998,0.665,0.8975903614457831,0.6114911080711354,0.7274206672091131,0.8104089219330854,0.7109500150021104,218,51,284,447
0.6199999999999998,0.661,0.8983739837398373,0.6046511627906976,0.7228127555192151,0.8141263940520446,0.709388778421371,219,50,289,442
0.6299999999999997,0.646,0.8968421052631579,0.5827633378932968,0.7064676616915423,0.8178438661710037,0.7003036020321503,220,49,305,426
0.6399999999999997,0.637,0.896551724137931,0.5690834473324213,0.6962343096234309,0.8215613382899628,0.695322392811192,221,48,315,416
0.6499999999999997,0.627,0.8942731277533039,0.5554035567715458,0.6852320675105485,0.8215613382899628,0.6884824475307543,221,48,325,406
0.6599999999999997,0.622,0.9020501138952164,0.5417236662106704,0.676923076923077,0.8401486988847584,0.6909361825477144,226,43,335,396
0.6699999999999997,0.62,0.9071925754060325,0.5348837209302325,0.6729776247848537,0.8513011152416357,0.6930924180859341,229,40,340,391
0.6799999999999997,0.609,0.9086538461538461,0.5170998632010944,0.6591107236268526,0.8587360594795539,0.6879179613403241,231,38,353,378
0.6899999999999997,0.6,0.908641975308642,0.5034199726402189,0.647887323943662,0.862453531598513,0.6829367521193659,232,37,363,368
0.6999999999999996,0.588,0.907928388746803,0.4856361149110807,0.6327985739750446,0.8661710037174721,0.6759035593142764,233,36,376,355
0.7099999999999996,0.584,0.9090909090909091,0.478796169630643,0.6272401433691757,0.8698884758364313,0.6743423227335371,234,35,381,350
0.7199999999999996,0.578,0.912,0.46785225718194257,0.6184448462929476,0.8773234200743495,0.6725878386281461,236,33,389,342
0.7299999999999996,0.572,0.915068493150685,0.45690834473324216,0.6094890510948905,0.8847583643122676,0.6708333545227549,238,31,397,334
0.7399999999999997,0.567,0.9209039548022598,0.44596443228454175,0.6009216589861751,0.895910780669145,0.6709376064768433,241,28,405,326
0.7499999999999997,0.557,0.9210526315789473,0.43091655266757867,0.587138863000932,0.8996282527881041,0.6652724027278414,242,27,416,315
0.7599999999999997,0.547,0.9212121212121213,0.4158686730506156,0.5730442978322338,0.9033457249070632,0.6596071989788395,243,26,427,304
0.7699999999999997,0.536,0.9211356466876972,0.399452804377565,0.5572519083969466,0.9070631970260223,0.6532580007017936,244,25,439,292
0.7799999999999997,0.522,0.920265780730897,0.3789329685362517,0.5368217054263565,0.9107806691449815,0.6448568188406165,245,24,454,277
0.7899999999999996,0.512,0.9233449477351916,0.3625170998632011,0.5206286836935167,0.9182156133828996,0.6403663566230503,247,22,466,265
0.7999999999999996,0.495,0.9216417910447762,0.3378932968536252,0.4944944944944945,0.9219330855018587,0.6299131911777419,248,21,484,247
0.8099999999999996,0.484,0.9352226720647774,0.31600547195622436,0.4723926380368098,0.9405204460966543,0.6282629590264394,253,16,500,231
0.8199999999999996,0.471,0.9353448275862069,0.2968536251709986,0.45067497403946,0.9442379182156134,0.620545771693306,254,15,514,217
0.8299999999999996,0.461,0.9363636363636364,0.2818057455540356,0.4332281808622503,0.9479553903345725,0.6148805679443041,255,14,525,206
0.8399999999999996,0.454,0.9383886255924171,0.2708618331053352,0.42038216560509556,0.9516728624535316,0.6112673477794334,256,13,533,198
0.8499999999999996,0.436,0.93717277486911,0.2448700410396717,0.3882863340563991,0.9553903345724907,0.6001301878060812,257,12,552,179
0.8599999999999995,0.424,0.9329608938547486,0.22845417236662108,0.367032967032967,0.9553903345724907,0.5919222534695558,257,12,564,167
0.8699999999999996,0.407,0.9259259259259259,0.2051983584131327,0.335946248600224,0.9553903345724907,0.5802943464928116,257,12,581,150
0.8799999999999996,0.399,0.9276315789473685,0.19288645690834474,0.319365798414496,0.9591078066914498,0.5759971317998973,258,11,590,141
0.8899999999999996,0.392,0.9361702127659575,0.18057455540355677,0.30275229357798167,0.966542750929368,0.5735586531664624,260,9,599,132
0.8999999999999996,0.375,0.9344262295081968,0.15595075239398085,0.2672919109026964,0.9702602230483272,0.563105487721154,261,8,617,114
